Refining reads of /home/patienza/oscars/erga/data/Canis_aureus/m64358e_220706_164001.reads.bam
Done IsoSeq refine.
Clustering
| 20260212 15:26:02.569 | INFO | Snapshot : (Legend) % CPU / Threads / ResMem GiB
| 20260212 15:40:27.570 | INFO | Snapshot : 2573.8% / 83T / 11.2G
| 20260212 15:40:32.570 | INFO | Snapshot : 2575.2% / 83T / 11.2G
| 20260212 15:40:37.570 | INFO | Snapshot : 2575.6% / 83T / 11.2G
| 20260212 15:40:42.570 | INFO | Snapshot : 2576.4% / 83T / 11.2G
| 20260212 15:40:47.570 | INFO | Snapshot : 2577.4% / 83T / 11.2G
| 20260212 15:40:52.570 | INFO | Snapshot : 2578.0% / 83T / 11.2G
| 20260212 15:40:57.570 | INFO | Snapshot : 2577.6% / 83T / 11.2G
| 20260212 15:41:02.570 | INFO | Snapshot : 2577.0% / 83T / 11.2G
| 20260212 15:41:07.570 | INFO | Snapshot : 2576.8% / 83T / 11.2G
| 20260212 15:41:12.570 | INFO | Snapshot : 2576.6% / 83T / 11.2G
| 20260212 15:41:17.570 | INFO | Snapshot : 2575.4% / 83T / 11.2G
| 20260212 15:41:22.570 | INFO | Snapshot : 2549.0% / 83T / 11.2G
| 20260212 15:41:27.576 | INFO | Snapshot : 2574.1% / 83T / 11.2G
| 20260212 15:41:32.570 | INFO | Snapshot : 2574.5% / 83T / 11.2G
| 20260212 15:41:37.570 | INFO | Snapshot : 2575.2% / 83T / 11.2G
| 20260212 15:41:42.569 | INFO | Snapshot : 2575.2% / 83T / 11.2G
| 20260212 15:41:47.580 | INFO | Snapshot : 2575.4% / 83T / 11.2G
| 20260212 15:41:52.570 | INFO | Snapshot : 2575.6% / 83T / 11.2G
| 20260212 15:41:57.570 | INFO | Snapshot : 2575.4% / 83T / 11.2G
| 20260212 15:42:02.570 | INFO | Snapshot : 2575.8% / 83T / 11.2G
| 20260212 15:42:07.570 | INFO | Snapshot : 2575.0% / 83T / 11.2G
| 20260212 15:42:12.570 | INFO | Snapshot : 2575.2% / 83T / 11.2G
| 20260212 15:42:17.570 | INFO | Snapshot : 2575.2% / 83T / 11.2G
| 20260212 15:42:22.570 | INFO | Snapshot : 2575.6% / 83T / 11.2G
| 20260212 15:42:27.570 | INFO | Snapshot : 2575.4% / 83T / 11.2G
| 20260212 15:42:32.570 | INFO | Snapshot : 2575.4% / 83T / 11.2G
| 20260212 15:42:37.570 | INFO | Snapshot : 2552.0% / 83T / 11.2G
