Run 'mamba init' to be able to run mamba activate/deactivate
and start a new shell session. Or use conda to activate/deactivate.

Files merged, running cluster
| 20260505 14:35:26.719 | INFO | Snapshot : (Legend) % CPU / Threads / ResMem GiB
| 20260505 14:52:31.730 | INFO | Snapshot : 2365.1% / 164T / 2.9G
| 20260505 14:52:36.721 | INFO | Snapshot : 2324.8% / 164T / 2.8G
| 20260505 14:52:41.720 | INFO | Snapshot : 2358.8% / 164T / 2.9G
| 20260505 14:52:46.721 | INFO | Snapshot : 2305.0% / 164T / 2.8G
| 20260505 14:52:51.724 | INFO | Snapshot : 2500.1% / 164T / 2.8G
| 20260505 14:52:56.720 | INFO | Snapshot : 2392.5% / 164T / 2.8G
| 20260505 14:53:01.720 | INFO | Snapshot : 2459.7% / 164T / 2.8G
| 20260505 14:53:06.727 | INFO | Snapshot : 2438.1% / 164T / 2.8G
| 20260505 14:53:11.721 | INFO | Snapshot : 2359.8% / 164T / 2.8G
| 20260505 14:53:16.721 | INFO | Snapshot : 2389.0% / 164T / 2.8G
| 20260505 14:53:21.731 | INFO | Snapshot : 2398.0% / 164T / 2.8G
| 20260505 14:53:26.720 | INFO | Snapshot : 2319.2% / 164T / 2.9G
| 20260505 14:53:31.720 | INFO | Snapshot : 2429.7% / 164T / 2.9G
| 20260505 14:53:36.721 | INFO | Snapshot : 2383.1% / 164T / 3.0G
| 20260505 14:53:41.721 | INFO | Snapshot : 2400.6% / 164T / 3.1G
| 20260505 14:53:46.728 | INFO | Snapshot : 2456.4% / 164T / 3.2G
| 20260505 14:53:51.720 | INFO | Snapshot : 2431.0% / 164T / 3.2G
| 20260505 14:53:56.721 | INFO | Snapshot : 2427.8% / 164T / 3.2G
| 20260505 14:54:01.720 | INFO | Snapshot : 2429.4% / 164T / 3.2G
| 20260505 14:54:06.721 | INFO | Snapshot : 2289.6% / 164T / 3.2G
| 20260505 14:54:11.730 | INFO | Snapshot : 2301.1% / 164T / 3.2G
| 20260505 14:54:16.731 | INFO | Snapshot : 2333.7% / 164T / 3.2G
| 20260505 14:54:21.720 | INFO | Snapshot : 2354.1% / 164T / 3.3G
| 20260505 14:54:26.723 | INFO | Snapshot : 2391.2% / 164T / 3.3G
| 20260505 14:54:31.720 | INFO | Snapshot : 2202.1% / 164T / 3.3G
| 20260505 14:54:36.720 | INFO | Snapshot : 2277.1% / 164T / 3.3G
| 20260505 14:54:41.720 | INFO | Snapshot : 2320.7% / 164T / 3.3G
| 20260505 14:54:46.720 | INFO | Snapshot : 2245.2% / 164T / 3.3G
| 20260505 14:54:51.728 | INFO | Snapshot : 2419.7% / 164T / 3.3G
| 20260505 14:54:56.720 | INFO | Snapshot : 2374.3% / 164T / 3.3G
| 20260505 14:55:01.721 | INFO | Snapshot : 2286.2% / 164T / 3.3G
| 20260505 14:55:06.725 | INFO | Snapshot : 2231.4% / 164T / 3.3G
| 20260505 14:55:11.721 | INFO | Snapshot : 2291.0% / 164T / 3.3G
| 20260505 14:55:16.728 | INFO | Snapshot : 2365.3% / 164T / 3.3G
| 20260505 14:55:21.729 | INFO | Snapshot : 2328.9% / 164T / 3.3G
| 20260505 14:55:26.720 | INFO | Snapshot : 535.9% / 85T / 3.3G
| 20260505 14:55:31.720 | INFO | Snapshot : 99.6% / 85T / 3.3G
| 20260505 14:55:34.035 | INFO | Break again           : 4m 27s 
| 20260505 14:55:35.698 | INFO | Consensus
| 20260505 14:55:36.719 | INFO | Snapshot : 343.1% / 164T / 3.2G
| 20260505 14:55:41.723 | INFO | Snapshot : 1714.1% / 164T / 3.4G
| 20260505 14:55:46.720 | INFO | Snapshot : 1611.9% / 164T / 3.9G
| 20260505 14:55:51.720 | INFO | Snapshot : 1673.5% / 164T / 4.5G
| 20260505 14:55:56.719 | INFO | Snapshot : 1507.6% / 164T / 4.9G
| 20260505 14:56:01.719 | INFO | Snapshot : 1582.5% / 164T / 5.4G
| 20260505 14:56:06.727 | INFO | Snapshot : 1455.3% / 164T / 5.7G
| 20260505 14:56:11.720 | INFO | Snapshot : 1488.6% / 164T / 6.1G
| 20260505 14:56:16.720 | INFO | Snapshot : 1442.8% / 164T / 6.4G
